kelime,frekans
microsoftgraphtentativelyaccept,140
microsoftgraphdismissreminder,140
spaceid,139
create,139
object,138
json,138
date,138
route,138
hostedcontents,138
player,137
onlinemeetings,137
connectionid,137
country,136
collaborator,136
resourceid,135
lifecycleworkflows,135
gistid,133
mediaservices,133
instancegroupmanagers,133
microsoftstorsimple,133
accessreviewstageid,133
quote,133
transfer,133
microsoftdataboxedge,132
storagesyncservicename,131
repositoryid,131
volume,130
submission,130
source,130
series,129
public,129
containername,129
insight,129
sync,129
employment,128
sm,128
filter,128
shortname,128
networkinterfaces,128
codespaces,128
amazonclouddirectory,127
databoxedgedevices,127
microsoftkusto,127
managername,127
itemid,126
microsoftautomation,126
runnergroupid,125
process,125
automationaccounts,125
import,125
getapplications,125
accesspackageassignments,124
microsoftcontainerregistry,124
accesspackageresourcerolescopes,124
delete,124
automationaccountname,123
todo,123
resourcegetiampolicy,123
resourcetestiampermissions,123
resourcesetiampolicy,123
accesspackagecatalogs,122
offer,122
invitation,122
environmentname,121
trigger,121
runnerid,120
plannertaskid,120
instancegroupmanager,120
resourcearn,120
codescanning,120
accesspackageassignmentid,119
orgcontactid,119
permissiongrants,119
reposlug,119
registryname,119
detail,118
rule,118
reactionid,118
disable,118
microsoftbatch,118
map,118
note,117
privilegedaccess,117
onlinemeetingid,116
accountsid,116
guid,116
accesspackageresourcerolescopeid,116
educationclassid,116
networksecuritygroupname,116
photo,115
billingaccountid,115
delivery,115
campaign,114
model,114
checksuites,114
billing,114
number,114
compliance,112
administrativeunits,112
fileid,111
test,111
endpointname,110
projectname,110
following,110
parentnotebook,110
person,109
latest,109
eventsubscriptions,109
datasets,109
accessreviewscheduledefinitionid,108
devicepath,108
resourcegroup,107
reset,107
checkruns,106
registration,106
resourcearntagkeys,106
fromterm,105
routefilters,105
toterm,105
applicationgatewayname,105
todotasklistid,104
deploymentid,104
authorizationrules,104
jobname,104
self,104
expressroutecrossconnections,104
documentid,102
educationuserid,102
ticket,102
enable,102
sharedwithteams,102
callid,101
batchaccounts,101
tab,100
conversationid,100
walletobjects,100
property,100
integrationaccounts,100
assignee,100
installedapps,100
resourcetype,100
virtualnetworkgatewayconnectionname,100
picture,99
getpartitions,99
ax,99
agreement,99
merchant,98
caseid,98
organisation,98
cache,97
validate,97
administrativeunitid,97
deleteditems,97
syncgroups,97
tagid,96
packetcaptures,96
info,96
microsoftservicebus,96
campaignid,95
downloads,95
recommendation,95
replicationprotectioncontainers,95
restart,95
migration,94
publisher,94
link,94
comanageddevices,93
microsoftdatafactory,93
partner,93
article,93
processid,92
dependabot,92
ediscovery,92
taskfolders,92
marketplace,92
integrationaccountname,92
microsoftnetapp,92
reviewid,91
installationid,91
publickey,91
educationsubmissionid,90
ping,90
microsoftdbformysql,90
accesspackageresourcescopeid,90
resourceprovidernamespace,90
sitename,90
path,90
feature,90
accesspackageresourceroleid,90
datasources,89
customerid,89
portfolio,89
awsaccountid,89
protectioncontainername,89
syncgroupname,89
participant,89
roledefinitions,89
systemkey,89
factory,88
code,88
milestone,88
diagnostics,88
recipe,87
result,87
download,87
accesstoken,87
releaseid,87
show,86
health,86
firewallpolicy,86
locationname,86
reservation,86
commentnumber,85
microsoftpeering,85
serial,85
paymentpspreference,85
hub,85
accesspackageresourcerole,84
microsoftgraphfilterbycurrentuseronon,84
microsoftservicefabric,84
outlooktaskfolderid,84
accesspackageresourcescope,84
applicationtypes,84
board,84
databaserid,84
window,84
rest,84
store,84
payrolladministrations,84
publicipaddresses,84
prereceivehooks,84
phone,84
factoryname,84
microsoftcache,83
billingperiods,83
bioentity,83
target,83
medium,83
bulk,82
employeeid,82
ownedobjects,82
localization,82
workgroups,81
gatewayname,81
restriction,81
microsoftcapacity,81
restore,81
v,81
plannerbucketid,80
serverfarms,80
starred,80
workgroupid,80
vpngateways,80
line,80
poolname,80
billingprofiles,80
ipam,80
attribute,80
fault,80
summary,79
connector,79
experiment,79
execution,79
billingperiodname,79
detector,79
integration,79
tool,78
policystates,78
routetablename,78
crossconnectionname,78
step,78
getreplicas,78
serverid,78
sensitivitylabels,77
refund,77
microsoftcustomerinsights,77
getiampolicy,77
setiampolicy,77
virtualendpoint,77
paymentmethods,77
androidpublisher,77
credential,76
move,76
alias,76
balance,76
book,76
certificatename,76
commitsha,76
todotaskid,76
component,75
connectionmonitors,75
attempt,75
playerid,75
block,75
artifacttypes,75
extra,75
redis,75
microsofteventhub,74
subnets,74
accesspackageassignmentresourceroles,74
authorizationrulename,74
directoryroles,74
db,74
jobschedules,74
idjson,73
migrationid,73
listing,73
domainid,73
feed,73
microsoftalertsmanagement,73
sql,73
netappaccounts,73
workbooktablecolumnid,72
variable,72
gethealth,72
microsoftdbformariadb,72
request,72
upgrade,72
managementgroupid,72
deliveryid,72
outlooktaskid,72
applicationname,72
packetcapturename,72
meeting,72
columnid,72
episode,71
verify,71
restservicefecru,71
apikey,71
groupname,71
hubname,71
securitypolicies,71
inreplyto,70
publishername,70
revision,70
ip,70
port,70
privilegedaccessid,70
stream,69
schemaname,69
room,69
externalconnectionid,68
queryresults,68
virtualwans,68
synchronization,68
accesspackageassignmentresourceroleid,68
